Lfd. Nr.;Datum;Areal;Fundstelle;Beschreibung;X;Y;Z;Kommentar;use for statistics?;Zeichnungsnummer;Foto?;FotoNr1;FotoNr2;Dateipfad;Seite
337;09.10.03;Hc.III.7.West;261;Tierterrakottafragment;1121,98;368,10;113,48;;n;;yes;91;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
338;09.10.03;Hc.III.7.Ost;234;Terrakottafragment;1121,99;364,50;113,03;;;;yes;92;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
339;09.10.03;Hc.III.7.Ost;234;Räucherständerfragment;1122,00;373,77;113,76;;;;yes;93;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;19
340;09.10.03;Hc.III.7.Ost;170;polierter Stein;1122,23;372,99;113,75;;y;;yes;86;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;19
341;09.10.03;Hd.III.6.West;233;3 Muscheln;1122,23;372,99;113,75;;y;;yes;87;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;19
342;09.10.03;Hc.III.7.West;242;Keramikfragment mit länglicher Applikation;1122,45;360.7;113,58;;y;;yes;88;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;19
335;08.10.03;Hc.III.7.West;258;Wagenrad, vollständig;1122,72;376,30;114,15;;ja;;yes;42;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
336;08.10.03;Hc.III.7.West;260;Bronzeklumpen;1122,95;376,82;114,16;;;;yes;82;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
334;07.10.03;Hc.III.7.West;257;schwarzer, polierter Stein;1123,11;376,98;114,17;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
333;05.10.03;Hc.III.7.Ost;248;Bergkristallperle;1120,30;374,70;114,40;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
331;04.10.03;Hc.III.7.Ost;235;Schüssel, zerscherbt;1120,30;374,70;114,40;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
332;04.10.03;Hc.III.7.West;245;Tonklumpen;1120,46;373,25;113,91;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
327;02.10.03;Hc.III.7.West;241;durchbohrte Muschel, vollständig;1120,65;374,60;113,62;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
328;02.10.03;Hc.III.7.West;219;Keramikfragment, verziert, mit figürlichen Applikatoren (?);1120,93;376,25;113,98;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
329;02.10.03;Hc.III.7.West;219;Körper einer weibl. Terrakotte;1121,17;376,65;113,06;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
330;02.10.03;Hc.III.7.West;219;Terrakottenfuß;1121,19;376,42;114,03;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
320;01.10.03;Hc.III.7.West;219;Wagenmodell, beschädigt;1121,29;373,40;113,89;;;;y;33;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
321;01.10.03;Hc.III.7.West;218;längliches Bronzefragment;1121,31;368,70;113,58;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
322;01.10.03;Hc.III.7.West;218;Wagenmodellfragment;1121,33;375,15;114,07;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
323;01.10.03;Hc.III.7.West;219;Miniaturgefäß, Profil;1121,39;362,90;112,33;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
324;01.10.03;Hc.III.7.West;219;Flintfragment;9,91;7,77;112,52;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
326;01.10.03;Hc.III.7.West;219;Gefäßprofil;9,92;1,98;112,90;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;18
307;30.09.03;Hc.III.7.Ost;219;Wagenmodellfragment;9,99;6,60;112,51;;nein;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;17
308;30.09.03;Hc.III.7.Ost;219;Kopf einer weibl. Terrakotte;9,99;6,60;112,51;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;17
309;30.09.03;Hc.III.7.Ost;219;Terrakotte ohne Kopf;14,97;9,02;113,3;;;;;;;…\_data\H\2003\2003_Funde\2003_Kleinfundliste_1.pdf;17
